col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
2007 NBA layoffs,basketball,"[0, 1]"
Turkish Basketball Super League Fipals MVP,basketball,"[0, 1]"
Supermonp,motorsport,"[0, 1]"
Formla 1000,motorsport,"[0, 1]"
2013 American Le Mans#Series season,motorsport,"[0, 1]"
Trofeo dello Scdlatore,road bicycle racing,"[0, 1]"
Tour de Mubai.,road bicycle racing,"[0, 1]"
our du Condroz,road bicycle racing,"[0, 1]"
Livonia Cp,association football,"[0, 1]"
CONCDCAF Championship,association football,"[0, 1]"
Soviet Firtt League,association football,"[0, 1]"
UEFU Cup,association football,"[0, 1]"
UAE Viee Presidents Cup,association football,"[0, 1]"
UE FA Cup,association football,"[0, 1]"
Taçi Oil Cu,association football,"[0, 1]"
Troieo Spagnolo,association football,"[0, 1]"
Trofeo Cidad de Zaragoza,association football,"[0, 1]"
rofeo Cappelli e Ferania,association football,"[0, 1]"
Football League Centenary Touunamept,association football,"[0, 1]"
1967 Torneio Robhrto Gomes Pedrosa,association football,"[0, 1]"
Under-20 Four Nations Tournamet,association football,"[0, 1]"
