col0,col1,"Metadata:CTA:[0, 1],CPA:[[0, 1]]"
Justice League Dark,English,"[0, 1]"
Ballerina,English,"[0, 1]"
Renaissance,English,"[0, 1]"
Asterix in Britain,French,"[0, 1]"
A Bug's Life,English,"[0, 1]"
The Legend of the Titanic,Italian,"[0, 1]"
From Russia with Love,Japanese,"[0, 1]"
Dumbo,English,"[0, 1]"
Kung Fu Panda 3,English,"[0, 1]"
It's Such a Beautiful Day,English,"[0, 1]"
Duck Ugly,French,"[0, 1]"
Extinct,English,"[0, 1]"
Ratty,Swedish,"[0, 1]"
Treasure Planet,English,"[0, 1]"
Children of the Sea,Japanese,"[0, 1]"
The Creation of the World,Czech,"[0, 1]"
Grave of the Fireflies,Japanese,"[0, 1]"
Tiny Heroes,Hungarian,"[0, 1]"
Gandahar,French,"[0, 1]"
Flushed Away,English,"[0, 1]"
