col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Schleissheim Parish Church,Catholicism,"[0, 1]"
"Pfarrkirche hl. Martin, Pichl bei Wels",Catholicism,"[0, 1]"
Parish church of Weißkirchen an der Traun,Catholicism,"[0, 1]"
Thalheim parish church near Wels,Catholicism,"[0, 1]"
Krenglbach Parish Church,Catholicism,"[0, 1]"
Gunskirchen Parish Church,Catholicism,"[0, 1]"
Parish Church of Pennewang,Catholicism,"[0, 1]"
Parish church in Neukirchen near Lambach,Catholicism,"[0, 1]"
Geboltskirchen Parish Church,Catholicism,"[0, 1]"
Bachmanning Parish Church,Catholicism,"[0, 1]"
Lutheran cemetery in Guty,Silesian Evangelical Church of the Augsburg Confession,"[0, 1]"
Lutheran cemetery in Lyžbice,Silesian Evangelical Church of the Augsburg Confession,"[0, 1]"
Protestant cemetery in Lískovec,Evangelical Church of Czech Brethren,"[0, 1]"
Church of St Helen,Anglicanism,"[0, 1]"
Lutheran cemetery in Dolní Žukov,Silesian Evangelical Church of the Augsburg Confession,"[0, 1]"
Cemetery in Hradiště,Silesian Evangelical Church of the Augsburg Confession,"[0, 1]"
Cemetery in Poděbrady,Evangelical Church of Czech Brethren,"[0, 1]"
Cimitirul Evreiesc,Judaism,"[0, 1]"
Military Cemetery of Cebeci,Islam,"[0, 1]"
Lutheran cemetery in Česká Ves,"German Evangelical Church in Bohemia, Moravia and Silesia","[0, 1]"
Jorinji temple,Nichiren Shū,"[0, 1]"
