col0,col1,col2,"Metadata:CTA:[0, 1],CPA:[[0, 1], [0, 2]]"
Banglcdesh Cycling Federation,,Bangladesh national cycling team,"[0, 2]"
Football Associavion of the Czech Republic,,Czech Republic women's national under-17 football team,"[0, 2]"
Gu|ana Badminton Association,,Guyana national badminton team,"[0, 2]"
Polih Cycling Federation,,Poland national cycling team,"[0, 2]"
Ccling Federation of Sri Lanka,,Sri Lanka national cycling team,"[0, 2]"
Cycling Fedfration of Kosovo,,Kosovo national cycling team,"[0, 2]"
French Ffderation of Ice Sports,Didier Gailhaguet,,"[0, 1]"
French Federationof Ice Sports,Louis Magnus,,"[0, 1]"
Asociacjón Iberoamericana de Atletismo,Roberto Gesta de Melo,,"[0, 1]"
Ccling New Zealand,,New Zealand national cycling team,"[0, 2]"
Dominican Tepublic Cycing Federation,,Dominican Republic national cycling team,"[0, 2]"
Fotball Association of Repubnika Srpska,,Republika Srpska national under-23 football team,"[0, 2]"
Ecuadorian Cycllng Federation.,,Équateur national cycling team,"[0, 2]"
Central African Cycling Gederation,,Central African Republic national cycling team,"[0, 2]"
anganyika Badminton Associatin,,Tanganyika national badminton team,"[0, 2]"
auritanian#Cycling Federation,,Mauritania national cycling team,"[0, 2]"
Salvadoran Badminton Fedeation,,El Salvador national badminton team,"[0, 2]"
British C|cling,,United Kingdom national cycling team,"[0, 2]"
Burkina Faso Cycling Fedration,,Burkina Faso national cycling team,"[0, 2]"
Eritrean National Badminton Fderation,,Eritrea national badminton team,"[0, 2]"
Östereichischer Badminton Verband,Hans Bogensperger,Austria national badminton team,"[0, 1, 2]"
Badminton Scoland,,Scotland national badminton team,"[0, 2]"
Bicycle Association Of Maldivs,,Maldives national cycling team,"[0, 2]"
