col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Lumber Jerks,,[0]
The Henpecked Rooster,7.0,[0]
Lucky Dog,,[0]
Wedding Bells,,[0]
Glass Half,193.0,[0]
Fialkin's Career,10.0,[0]
Porky in Wackyland,7.0,[0]
Final Flight of the Osiris,9.0,[0]
Duck Dodgers in the 24½th Century,7.0,[0]
"Madagascar, a Journey Diary",12.0,[0]
Mexican Cat Dance,6.0,[0]
Cock-a-Doodle Dog,6.0,[0]
The Meeting,,[0]
Hopalong Casualty,6.0,[0]
Love and War,14.0,[0]
Trick or Cheat,6.0,[0]
Keep in Style,373.0,[0]
The Garden,7.0,[0]
Abner the Baseball,12.0,[0]
Feather Dusted,,[0]
Stripes and Stars,,[0]
