col0,col1,col2,col3,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2], [0, 3]]"
Hull,344.0,5287,31.8,[0]
Swiss,297.0,807,157.3,[0]
Vinland,237.0,1769,93.9,[0]
Medford,448.0,2482,37.8,[0]
Presque Isle,512.0,805,74.4,[0]
Chimney Rock,275.0,258,36.1,[0]
Arbor Vitae,496.0,3403,71.3,[0]
Ashland,,589,107.0,[0]
Vance Creek,368.0,689,91.8,[0]
La Follette,294.0,559,101.0,[0]
Carson,342.0,1374,55.0,[0]
Fayette,328.0,381,35.9,[0]
Plover,405.0,683,36.2,[0]
Plover,,1565,27.93066,[0]
Brookfield,250.0,6477,5.5,[0]
Dovre,329.0,825,91.3,[0]
Stanfold,364.0,701,93.0,[0]
Aurora,369.0,459,34.2,[0]
Aurora,235.0,1006,34.6,[0]
Aurora,397.0,987,38.4,[0]
Stiles,208.0,1518,35.2,[0]
