col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Leipzig-Engelsdorf,1906-01-01,[0]
Gare d'Auxy - Juranville,,[0]
Wakana Station,1926-10-14,[0]
Raritan River Freight Station,,[0]
Gare de Chalandray,,[0]
Mennock Lye Goods Depot,,[0]
Archi railway station,,[0]
Gare ferroviaire de Vouziers,,[0]
Shibaura Station,1930-08-01,[0]
Passau Gbf,,[0]
Kőbánya-teher railway station,,[0]
Gare d'Engenville,,[0]
Praha-Modřany,,[0]
Gare de Coulombiers,1856-07-07,[0]
Regensburg Bayernhafen,,[0]
Honmoku Futō Station,1969-10-01,[0]
railway station Coussey,,[0]
Zhijiang Railway Station,,[0]
MegaHub Lehrte,,[0]
Fujiwara Station,1971-08-02,[0]
Yunokibaru Station,1903-04-18,[0]
Genève Montbrillant station,,[0]
Morito Station,1932-02-17,[0]
Livorno Calambrone railway station,1987-01-01,[0]
