col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
2022 Classic Brugge–De Panne,,[0]
2019 Three Days of Bruges–De Panne,,[0]
2018 Three Days of Bruges–De Panne,,[0]
1990 Three Days of De Panne,1990-03-27,[0]
2000 Three Days of De Panne,2000-03-28,[0]
1981 Three Days of De Panne,1981-03-30,[0]
1997 Three Days of De Panne,1997-04-01,[0]
2006 Three Days of De Panne,2006-03-28,[0]
1985 Three Days of De Panne,1985-03-26,[0]
1994 Three Days of De Panne,1994-03-29,[0]
2009 Three Days of De Panne,2009-03-31,[0]
2024 Classic Brugge-De Panne,,[0]
2010 Three Days of De Panne,2010-03-30,[0]
2017 Three Days of De Panne,2017-03-28,[0]
2002 Three Days of De Panne,2002-04-02,[0]
2007 Three Days of De Panne,2007-04-03,[0]
1982 Three Days of De Panne,1982-03-30,[0]
1986 Three Days of De Panne,1986-03-25,[0]
2008 Three Days of De Panne,2008-04-01,[0]
