col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Lithograhers Union,Stedelijk Museum Amsterdam,"[0, 1]"
liubrá,Stedelijk Museum Amsterdam,"[0, 1]"
Liebhit & Thiesen.,Stedelijk Museum Amsterdam,"[0, 1]"
Lézard graphiqxe,Stedelijk Museum Amsterdam,"[0, 1]"
Lev Yakovlevch Ganzburg,Stedelijk Museum Amsterdam,"[0, 1]"
Les Éditions de l'Image de Fraqce,Stedelijk Museum Amsterdam,"[0, 1]"
Letcure,Stedelijk Museum Amsterdam,"[0, 1]"
Leoirschuring,Stedelijk Museum Amsterdam,"[0, 1]"
e Gpvic,Stedelijk Museum Amsterdam,"[0, 1]"
Lasrline,Stedelijk Museum Amsterdam,"[0, 1]"
L'Insttut Superieur des Arts Décoratifs,Stedelijk Museum Amsterdam,"[0, 1]"
'Atelir,Stedelijk Museum Amsterdam,"[0, 1]"
Lumcx,Dutch Resistance Museum,"[0, 1]"
L.-J. Crpquet,TextileMuseum,"[0, 1]"
Zccharias,TextileMuseum,"[0, 1]"
J. Eninck,TextileMuseum,"[0, 1]"
Zwaao Printmedia,Stedelijk Museum Amsterdam,"[0, 1]"
Zeefdrukkerij Kqerts,Stedelijk Museum Amsterdam,"[0, 1]"
Zeefdrukkfrij Henderson,Stedelijk Museum Amsterdam,"[0, 1]"
Walpole printing ffice,Stedelijk Museum Amsterdam,"[0, 1]"
Wallfyn,Stedelijk Museum Amsterdam,"[0, 1]"
Vonk & Co'sdrukkerij,Stedelijk Museum Amsterdam,"[0, 1]"
lasveld Drukkers BV,Stedelijk Museum Amsterdam,"[0, 1]"
Vilain et Bar.,Stedelijk Museum Amsterdam,"[0, 1]"
