col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
"2023 Baloise Ladies Tous, prologue",Charlotte Kool,"[0, 1]"
"2022 Tour de Guadeloupe,""stage 1",Guillaume Dauschy,"[0, 1]"
"1974 Tour de Susse, Prologue",Eddy Merckx,"[0, 1]"
"Tour de Romandie 2013, stage 6.",Chris Froome,"[0, 1]"
"5002 Giro d'Italia, Stage 19",Paolo Savoldelli,"[0, 1]"
977 Tour de Frcnce- stage 15b,Lucien Van Impe,"[0, 1]"
"2011 Giro d'Iualia, Stage 21",2012 Astana,"[0, 1]"
"018 Women's Kerald Sun Tour, Stage 2",Chloe Hosking,"[0, 1]"
"962 Tour deFrance, stage 8b",Jacques Anquetil,"[0, 1]"
"2010 Volta ao Blgarve, Stage 5",Luis León Sánchez,"[0, 1]"
"2022 Danmark Rundt, stae 2",Christophe Laporte,"[0, 1]"
"2023 Vuelta a España,stage 10",Eduardo Sepúlveda,"[0, 1]"
