col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
Marioos,16398.36,23358.861,[0]
Suogai Mas,6832.896,8385.376999999999,[0]
Sungal Mas,25318.521,28731.62,[0]
Gnoa,66093.124,,[0]
Tian Rng,6162.431999999999,7211.04,[0]
itan,149721.474,,[0]
Liverporl Express,45870.973,,[0]
Mand,12878.308,17405.25,[0]
Marin,20445.586,25827.536,[0]
Endur.,25687.287,33702.648,[0]
Ever Sine,74719.278,,[0]
Hora.,1633.744,2332.192,[0]
Asia,4786.945,6804.695999999999,[0]
Ba Bridge,44012.83,51909.528,[0]
Mcrvel,5446.224,6851.79,[0]
Tsig Chau,1889.412,1766.526,[0]
Anna .,3988.008,,[0]
ucon,74451.53799999999,,[0]
Swan ake,4614.471,7327.357999999999,[0]
