col0,col1,col2,col3,"Metadata:CTA:[0, 3],CPA:[[0, 3], [0, 1], [0, 2]]"
2015 Rostelecom Cup - pair skating free skating,8,2015-11-21,Ksenia Stolbova,"[0, 3]"
2015–16 Grand Prix of Figure Skating Final - pair skating free skating,7,2015-12-11,Ksenia Stolbova,"[0, 3]"
figure skating at the 2013 Winter Universiade - pair skating free skating,5,2013-12-13,Ksenia Stolbova,"[0, 3]"
2012 Four Continents Figure Skating Championships - ladies' singles free skating,24,2012-02-11,Ashley Wagner,"[0, 3]"
2017 Skate America - men's singles free skating,12,2017-11-25,Adam Rippon,"[0, 3]"
2010 Four Continents Figure Skating Championships - men's singles free skating,20,2010-01-30,Adam Rippon,"[0, 3]"
2011 Four Continents Figure Skating Championships - men's singles free skating,20,2011-02-19,Daisuke Takahashi,"[0, 3]"
figure skating at the 2012 Winter Youth Olympics - ladies' singles free skating,16,2012-01-17,Elizaveta Tuktamysheva,"[0, 3]"
2011 Four Continents Figure Skating Championships - pair skating free skating,10,2011-02-18,Pang Qing,"[0, 3]"
2010 Four Continents Figure Skating Championships - ladies' singles free skating,20,2010-01-29,Mao Asada,"[0, 3]"
2011 Four Continents Figure Skating Championships - ladies' singles free skating,24,2011-02-20,Miki Ando,"[0, 3]"
2017 Rostelecom Cup - pair skating free skating,8,2017-10-21,Evgenia Tarasova,"[0, 3]"
2016–17 Grand Prix of Figure Skating Final - pair skating free skating,6,2016-12-09,Evgenia Tarasova,"[0, 3]"
2016 Cup of China - pair skating free skating,8,2016-11-19,Zhang Hao,"[0, 3]"
