col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Break Every Rule,Tina Turner,"[0, 1]"
Here Are the Young Men,Joy Division,"[0, 1]"
Red Tape,,[0]
Live in Colombia,Alan Parsons,"[0, 1]"
Anniversary Waltz,Status Quo,"[0, 1]"
Famous in the Last Century,Status Quo,"[0, 1]"
Galore,The Cure,"[0, 1]"
Living with the Past,Jethro Tull,"[0, 1]"
Epitaph,Judas Priest,"[0, 1]"
God Is in the House,Nick Cave and the Bad Seeds,"[0, 1]"
Ultimate Revenge,various artists,"[0, 1]"
Live at Budokan,Red Hot Chili Peppers,"[0, 1]"
Live in San Diego,Metallica,"[0, 1]"
Zerofobia,Renato Zero,"[0, 1]"
On Tour,Yann Tiersen,"[0, 1]"
Deuce,Korn,"[0, 1]"
The Last Supper,Black Sabbath,"[0, 1]"
Greatest Hits,Kumbia Kings,"[0, 1]"
Greatest Hits,The Cure,"[0, 1]"
Greatest Hits,Mariah Carey,"[0, 1]"
Greatest Hits,The Cure,"[0, 1]"
Diario Carboni,Luca Carboni,"[0, 1]"
Discovery,Tokyo Jihen,"[0, 1]"
Raising Hell,Iron Maiden,"[0, 1]"
Iona,Iona,"[0, 1]"
