col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
Mulberry Township,457,35.97,[0]
Mulberry Township,400,38.31,[0]
Mount Pleasant Township,317,123.64,[0]
Morlan Township,702,110.62,[0]
Moore Township,430,45.93,[0]
Mission Township,340,85.08,[0]
Mingona Township,465,53.56,[0]
Mineral Township,281,30.65,[0]
Milton Township,424,36.38,[0]
Millbrook Township,684,61.59,[0]
Mill Creek Township,260,52.64,[0]
Milford Township,349,49.47,[0]
Meredith Township,454,36.2,[0]
Matfield Township,434,122.42,[0]
Marmaton Township,250,56.11,[0]
