col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
Senusret before an offering-C 21,60.0,43.3,[0]
Stela dedicated to Re-Harakhty by the draftsman Pay Limestone,47.3,31.5,[0]
Mery Hetepouy and Khety-C 19,46.0,63.3,[0]
"Funerary stela of Christopher, in Coptic Sandstone",32.0,22.5,[0]
Falcon-headed god-MAHG MF 1308,35.0,25.5,[0]
Stele of god Adad AO 13092,136.0,54.0,[0]
"Stela showing the deceased libating to Osiris, with the jackal god Anubis between them Limestone",54.0,36.0,[0]
Monument à Joseph Poux,180.0,,[0]
Libation to a vegetation goddess relief-AO 276,17.4,16.0,[0]
funerary banquet,108.0,127.5,[0]
Fragment of a stele-AO 4574 bis,7.5,6.7,[0]
victory stele of an Akkadian king,54.0,26.0,[0]
Stele of Chief Treasurer Sakherty-C 196,64.0,54.0,[0]
Stele-E 21714,36.0,21.0,[0]
"Stela of Djehutynefer called Seshu, accountant scribe of cattle and fowl in the temple of Amon, and his wife, the house-mistress Benbu Limestone",47.2,31.0,[0]
Lady Nestarut led by Thot to Atum-N 3662,25.5,22.4,[0]
stele of Iuny,49.0,34.3,[0]
stele of Iuny,17.7,11.4,[0]
Stele of Nefertiabet-E 15591,37.7,52.5,[0]
Votive ear stela dedicated to the goddess Nebethetep by Usersatet Limestone,17.5,14.0,[0]
