col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Plan van Antwerpen en de citadel,,[0]
"Clarissimus Erycius Puteanus Historiographus, Regius Professor Consiliarius Etc.",17.0,[0]
"Clarissimus Erycius Puteanus Historiographus, Regius Professor Consiliarius Etc.",20.3,[0]
James Northcote,14.1,[0]
Chemin creux,,[0]
Lewis Francis Roubiliac,23.3,[0]
Lewis Francis Roubiliac,20.6,[0]
Lowestoffe Lighthouse (vignette),30.8,[0]
Lowestoffe Lighthouse (vignette),30.5,[0]
Hermitage Castle,,[0]
Dunbar,37.5,[0]
The stable,,[0]
Peter Tillemans,23.4,[0]
Old Saumur,,[0]
Envy,,[0]
Sir Joshua Reynolds,33.9,[0]
Sir Joshua Reynolds,34.3,[0]
Sir Joshua Reynolds,14.3,[0]
Reading woman,,[0]
Whitlingham,27.3,[0]
"Le Carceri d'Invenzione, plate XIV: The Gothic Arch",54.8,[0]
"Le Carceri d'Invenzione, plate XIV: The Gothic Arch",,[0]
Bridge of St. Cloud from Sevres,,[0]
Linlithgow Palace,,[0]
