col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
East Hills,7284,[0]
Massapequa Park,17109,[0]
Upper Nyack,2015,[0]
Akron,2888,[0]
Champlain,1170,[0]
Bainbridge,1251,[0]
Lancaster,10027,[0]
Shortsville,1400,[0]
Northville,993,[0]
Kaser,5491,[0]
Herrings,116,[0]
Clifton Springs,2209,[0]
Scotia,7272,[0]
Altamont,1675,[0]
Herkimer,7234,[0]
Cohocton,703,[0]
Mill Neck,1054,[0]
Canaseraga,460,[0]
Munsey Park,2809,[0]
Poland,464,[0]
Washingtonville,5657,[0]
Greenwich,1651,[0]
Harlem,363633,[0]
Rhinebeck,2697,[0]
Bellport,2203,[0]
