col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
Schlachtensee,10573,4.05,[0]
Lichtenberg,39121,7.22,[0]
Pankow,57113,5.66,[0]
Siemensstadt,12831,5.66,[0]
Grunewald,10371,22.33,[0]
Mitte,89757,10.69,[0]
Wartenberg,2548,6.92,[0]
Lichtenrade,49843,10.1,[0]
Hellersdorf,78683,8.1,[0]
Borsigwalde,6432,2.0,[0]
Karlshorst,27956,6.6,[0]
Blankenfelde,2064,13.4,[0]
Marzahn,106640,19.54,[0]
Alt-Treptow,10859,2.31,[0]
Dahlem,15973,8.39,[0]
Steglitz,73463,6.79,[0]
Karow,19679,6.65,[0]
Tegel,35474,33.7,[0]
Moabit,77344,7.72,[0]
