col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Treasure of the Cathedral of Genoa,200.0,[0]
Catalyst Science Discovery Centre,,[0]
Civic Pinacotheca,450.0,[0]
Vabamu Museum of Occupations and Freedom,,[0]
Knoblauchhaus,,[0]
Forum antique de Bavay,,[0]
Domokos Kuny Museum,,[0]
Dom-Museum,,[0]
The Kennedys,,[0]
Fjell Fortress,,[0]
EAA Aviation Museum,,[0]
Chalet d'Ivan Tourgueniev et pavillon Viardot,,[0]
Hungarian Geographical Museum,,[0]
Museum Oorlog en Vrede,,[0]
New Taipei City Hakka Museum,4.03,[0]
