col0,col1,"Metadata:CTA:[0, 1],CPA:[[0, 1]]"
Xest Lothian,Encyclopædia Britannica 11th edition,"[0, 1]"
Kkrkcudbrightshire,Encyclopædia Britannica 11th edition,"[0, 1]"
Cromcrtyshire,Encyclopædia Britannica 11th edition,"[0, 1]"
cithness,Encyclopædia Britannica 11th edition,"[0, 1]"
Kintoss-sire,Encyclopædia Britannica 11th edition,"[0, 1]"
Wiitwnshire,Encyclopædia Britannica 11th edition,"[0, 1]"
Buteshirg,Encyclopædia Britannica 11th edition,"[0, 1]"
Aberdeeqshire,Brockhaus and Efron Encyclopedic Dictionary,"[0, 1]"
oss nd#Cromarty,Brockhaus and Efron Encyclopedic Dictionary,"[0, 1]"
Nairnskire,Brockhaus and Efron Encyclopedic Dictionary,"[0, 1]"
Morayhire,Brockhaus and Efron Encyclopedic Dictionary,"[0, 1]"
Peeblessjire,Brockhaus and Efron Encyclopedic Dictionary,"[0, 1]"
elkirkshie,Brockhaus and Efron Encyclopedic Dictionary,"[0, 1]"
Invernfss-shire,Brockhaus and Efron Encyclopedic Dictionary,"[0, 1]"
Dumfrjesshire,Brockhaus and Efron Encyclopedic Dictionary,"[0, 1]"
Stirningshire,Brockhaus and Efron Encyclopedic Dictionary,"[0, 1]"
Sutherlaqd,Brockhaus and Efron Encyclopedic Dictionary,"[0, 1]"
Banffsire,Brockhaus and Efron Encyclopedic Dictionary,"[0, 1]"
Byrshire,Brockhaus and Efron Encyclopedic Dictionary,"[0, 1]"
Berwickvhire,Brockhaus and Efron Encyclopedic Dictionary,"[0, 1]"
