col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1]]"
European Pocket Billiard Federation,Europe,,"[0, 1]"
Boccia International Sports Federation,worldwide,,"[0, 1]"
WBSC Oceania,Oceania,,"[0, 1]"
FIBA Europe,Europe,,"[0, 1]"
Asian Skating Union,Asia,,"[0, 1]"
Asian Hockey Federation,Asia,,"[0, 1]"
International Correspondence Chess Federation,Earth,ICCF,"[0, 1]"
WBSC Asia,Asia,,"[0, 1]"
World Mountain Running Association,worldwide,WMRA,"[0, 1]"
International Weightlifting Federation,worldwide,,"[0, 1]"
International Table Hockey Federation,Earth,,"[0, 1]"
World OCR,worldwide,,"[0, 1]"
International Boxing Organization,worldwide,,"[0, 1]"
Asian Cycling Confederation,Asia,ACC,"[0, 1]"
Worldloppet Ski Federation,Earth,,"[0, 1]"
Muzzle Loading Associations International Committee,Earth,,"[0, 1]"
Confédération Mondiale des Sports de Boules,Earth,,"[0, 1]"
