col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
Phaistos,134538.0,,[0]
Ricina,895.0,,[0]
Temple of Minerva Medica,1072.0,,[0]
Mamre,,991.0,[0]
Colosseum,1633436.0,48.0,[0]
Holt Castle,,10.0,[0]
Cryptoporticus,83644.0,,[0]
Domus Aurea,74287.0,,[0]
Nora,82991.0,,[0]
Corfe Castle,190000.0,,[0]
Rusellae,19695.0,,[0]
Nippur,,20.0,[0]
Morgantina,20855.0,,[0]
Portonaccio,8048.0,,[0]
Cento Camerelle,731.0,,[0]
Delphi,405947.0,,[0]
Potentia,350.0,,[0]
Arch of Hadrian,,18.0,[0]
Roman cisterns,21412.0,,[0]
Neapolis,688963.0,,[0]
Temple of Olympian Zeus,,17.0,[0]
Naxos,1133656.0,,[0]
Caulonia,6302.0,,[0]
