col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Helsingborg,Siege of Helsingborg,"[0, 1]"
Yokohama,Bombing of Yokohama,"[0, 1]"
Basra,Siege of U.K. bases in Basra,"[0, 1]"
Portsmouth,Siege of Portsmouth,"[0, 1]"
Monrovia,Siege of Monrovia,"[0, 1]"
Bristol,Siege of Bristol,"[0, 1]"
Nagasaki,atomic bombing of Nagasaki,"[0, 1]"
Melilla,Siege of Melilla,"[0, 1]"
Acapulco,Siege of Acapulco,"[0, 1]"
Nagoya,Bombing of Nagoya in World War II,"[0, 1]"
Izmail,Siege of Izmail,"[0, 1]"
Misrata,Battle of Misrata,"[0, 1]"
Marseille,Siege of Massilia,"[0, 1]"
Tallinn,The Siege of Reval,"[0, 1]"
