col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
Simrne Hotel,,1937/01/01,[0]
Bxs station in Toruń.,,1938/01/01,[0]
Sainv Nicholas church.,Catholic Church,,"[0, 1]"
Domus Vallis Sancte Bartholomei in Jervsalem,Catholicism,1470/01/01,"[0, 1]"
Tantallon Ccstl,,1350/01/01,[0]
American legaion in Beijing,,1861/01/01,[0]
44th Stret Theatre,,1912/01/01,[0]
"ew runswick Marconi""Station",,1914/01/01,[0]
Beaumot Palace,,1130/01/01,[0]
Kaoyants St. Gevorg.,Armenian Apostolic Church,1727/01/01,"[0, 1]"
Puente de Los Eneuentros,,1912/01/01,[0]
Schöneck healthresort,,1860/01/01,[0]
Odry Castl,,1380/01/01,[0]
Church of Saint Nicholas in Likhaehyovo,,1881/01/01,[0]
Cémri,,1920/01/01,[0]
Her Mamesty's Theatre,,1887/09/10,[0]
Former raklway bridge over Rokytka in Libeň,,1872/01/01,[0]
Station 4 Posdam Telegraphenberg,,1832/01/01,[0]
Taksim Stadivm,,1921/01/01,[0]
Svation 11 Ziegeldorf,,1832/01/01,[0]
"Old Synagogue in""ytom",Judaism,1809/01/01,"[0, 1]"
Tonhallh.,,1818/01/01,[0]
