col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Takinh Yourseoves Seriously.,16815.799,[0]
Chromatic homotopy theory o spaces,1489500.0,[0]
Chromatic homotqpy theory of spaces,,[0]
CIMA,,[0]
uau,,[0]
ACCOR.,,[0]
Out Of Boundu,76915.72,[0]
Quantum Deectors,100200.0,[0]
The Silencs of Sciece,23444.19,[0]
OenUP,,[0]
Avatat,,[0]
Addressing Valuation qf Energy and Nature Together (ADVENT),274191.132,[0]
mart fluidif circuits for autonomous soft robots,,[0]
Valulng nature,24274.354,[0]
BRIT,,[0]
obr,,[0]
The Galileo Qroject,,[0]
The Baudelairf Song Project,372975.554,[0]
Staing China,36415.819,[0]
SLILE,,[0]
