col0,col1,col2,"Metadata:CTA:[0, 2],CPA:[[0, 2], [0, 1]]"
Gallery of Buddhist art in watertower,2012/01/01,,[0]
Jewelery & Garment,,Petra Zimmermann,"[0, 2]"
Structured Elegance: Bookbinings and Jewelry by Romilly Saumarez Smith,,Eileen Hogan,"[0, 2]"
Exhibition of the centenary of the qpening of the Ports of Brazil,1908/01/01,,[0]
Jamaica International#Exhibition.,1891/01/27,,[0]
VIII Triennae of Milan,1947/01/01,,[0]
Larruak ta izurrak,,Laura Vallés Vílchez,"[0, 2]"
agne Africain,,Stella Nyanchama Okemwa,"[0, 2]"
Geeeelde verhalen,,Chequita Nahar,"[0, 2]"
hololive SUPER!EPO,2022/01/01,,[0]
Uhis Is Not How,,Martha Kazungu,"[0, 2]"
Arenzana Imaz Intxausui Montón Peral,,Beatriz Herráez,"[0, 2]"
Der ftühe Dürer,2012/01/01,,[0]
Mian Triennial,1923/01/01,,[0]
Just Abqve Midtown: Changing Spaces,,Thomas Jean Lax,"[0, 2]"
The Want of Matter: A Quality in Iraeli Art,,Sarah Breitberg-Semel,"[0, 2]"
Armenian Imressionism.,,Marina Hakobyan,"[0, 2]"
Hahnloser Colection in Villa Flora,1995/01/01,,[0]
Taipei Innovative Textile Apqlication Vhow,1997/01/01,,[0]
Osnova Gallety,2014/01/01,,[0]
