col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
The Nature Conservancy,Silver Anvil Award,"[0, 1]"
Aid to the Church in Need,DZI Seal-of-Approval,"[0, 1]"
Red Cross Youth,Theodor Heuss Award,"[0, 1]"
DOSAAF,Order of Lenin,"[0, 1]"
International Water Management Institute,Stockholm Water Prize,"[0, 1]"
Puah Institute,Katz Award,"[0, 1]"
Imperial Theatre,BCS Prize,"[0, 1]"
Apple,National Design Awards,"[0, 1]"
BBC,Peabody Awards,"[0, 1]"
UNESCO,Peabody Awards,"[0, 1]"
Nintendo,British Academy Video Games Awards,"[0, 1]"
United Nations,Nobel Peace Prize,"[0, 1]"
Agora,Rafto Prize,"[0, 1]"
International Council of Museums,Ordem do Mérito Cultural,"[0, 1]"
National Institutes of Health,Gran Cruz de la Orden Civil de Sanidad,"[0, 1]"
SWIFT,BigBrotherAwards,"[0, 1]"
Terre des hommes,Balzan Prize,"[0, 1]"
American Medical Association,Silver Anvil Award,"[0, 1]"
