col0,col1,"Metadata:CTA:[0, 1],CPA:[[0, 1]]"
Health Sciences Library,,[0]
Carl S. Swisher Library,,[0]
Carl S. Swisher Library,,[0]
Andrew Carnegie Library,,[0]
"Library of Research Institute for Economics and Business Administration, Kobe University",,[0]
"Library of Research Institute for Economics and Business Administration, Kobe University",,[0]
Olin Library,,[0]
University of Manitoba Libraries,,[0]
Hunt Library,,[0]
Hunt Library,,[0]
Aalborg University Library,,[0]
Carnegie Library,,[0]
Newport Library,,[0]
Hospital Real,,[0]
Surugadai University Media Center,,[0]
Nagoya Institute of Technology Library,,[0]
"The Graduate University for Advanced Studies, Library",,[0]
British Library of Political and Economic Science,Survey of GLAM open access policy and practice,"[0, 1]"
Lilly Library,,[0]
"Library, Nihon University College of Bioresource Sciences",,[0]
John Harris Library,,[0]
Morisset Library,,[0]
Academic Library,,[0]
