col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Bluecastle Tongue,,[0]
Heinaste Member,,[0]
Copperhead Volcaniclastic Member,,[0]
Tantabiddi Member,,[0]
Garnet Canyon Tongue,Sanup Plateau Member,"[0, 1]"
Red Bull Member,,[0]
Binneringie Dolerite Member,,[0]
Lincoln Gap Siltstone Member,,[0]
Homeleigh Agglomerate Member,,[0]
Step Ridge Member,Highland Peak Formation,"[0, 1]"
Vittoria Member,,[0]
Arbitration Cove Sandstone Member,,[0]
Shuttleton Rhyolite Member,,[0]
Saint Michael Member,,[0]
Maidjunga Member,,[0]
Voort Formation,Veldhoven Formation,"[0, 1]"
Salt Ash Coal Member,,[0]
Blackmans Lagoon Member,,[0]
