col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
Kremenchuk Raion,6105.8,399400.0,[0]
Kremenchuk Raion,1020.0,,[0]
Semenivka Raion,1300.0,23914.0,[0]
Semenivka Raion,1470.0,,[0]
Nizhyn Raion,1514.0,33400.0,[0]
Nizhyn Raion,7226.6,228700.0,[0]
Bakhmut Raion,1747.6,211400.0,[0]
Horodok Raion,727.0,68544.0,[0]
Dnipro Raion,5605.6,1145065.0,[0]
Izmail Raion,3434.4,207333.0,[0]
Nadvirna Raion,1293.6,115011.0,[0]
Nadvirna Raion,1872.0,130600.0,[0]
Khmelnytskyi Raion,1220.0,53236.0,[0]
Khmelnytskyi Raion,10755.8,687000.0,[0]
Oleksandrivka Raion,1159.0,25965.0,[0]
Polohy Raion,6762.5,163641.0,[0]
Polohy Raion,1340.0,39115.0,[0]
Kamin-Kashyrskyi Raion,4693.4,130382.0,[0]
Kamin-Kashyrskyi Raion,1747.0,130382.0,[0]
Pokrovsk Raion,4020.0,402700.0,[0]
Verkhovyna Raion,1271.7,30500.0,[0]
Verkhovyna Raion,1260.0,30569.0,[0]
Beryslav Raion,4764.0,99100.0,[0]
