col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
Harry Brighton,Anthony Quayle,,"[0, 1]"
Shakthi,Nani,,"[0, 1]"
Maggie Simpson,,Hugo Simpson,"[0, 2]"
Elizabeth Bennet,,Catherine Bennet,"[0, 2]"
Lucky Luke,"Statue of Lucky Luke, Rantanplan and Joe Dalton in Middelkerke",,"[0, 1]"
Adrian Pennino,,Paulie Pennina,"[0, 2]"
Jasmine Jordan,,Marcus Jordan,"[0, 2]"
Goku,,Raditz,"[0, 2]"
Gavin,,Jack,"[0, 2]"
Shaggy Rogers,,Maggie Rogers,"[0, 2]"
Blathers,,Celeste,"[0, 2]"
Babu,Nani,,"[0, 1]"
Poo,,Anjali Sharma Raichand,"[0, 2]"
Bulma,,Tights,"[0, 2]"
Riot,,Agony,"[0, 2]"
Scooby-Doo,,Skippy-Doo,"[0, 2]"
Judy Robinson,,Penny Robinson,"[0, 2]"
Tom Cooper,,Murphy Cooper,"[0, 2]"
Speed Racer,,Spritle Racer,"[0, 2]"
Simon Tam,,River Tam,"[0, 2]"
Cyclops,,Vulcan,"[0, 2]"
Krishna,Nani,,"[0, 1]"
Rain,,Taven,"[0, 2]"
