col0,col1,col2,col3,"Metadata:CTA:[0, 2, 3],CPA:[[0, 1], [0, 2], [0, 3]]"
The Adventure of the Clapham Cook,Agatha Christie's Poirot,Clive Exton,,"[0, 1, 2]"
Tatort: Die Abrechnung,Tatort with Willi Kreutzer,Karl-Heinz Willschrei,,"[0, 1, 2]"
The Mystery of the Blue Train,Agatha Christie's Poirot,Guy Andrews,,"[0, 1, 2]"
Stigma,A Ghost Story for Christmas,Clive Exton,,"[0, 1, 2]"
Zwerg Nase,Märchenperlen,Felicitas Darschin,,"[0, 1, 2]"
Rusty Bugles,Wednesday Theatre,John Warwick,,"[0, 1, 2]"
Rose Hill,Hallmark Hall of Fame,Earl W. Wallace,,"[0, 1, 2]"
There's Always Vanilla,Polizeiruf 110,Annette Hess,,"[0, 1, 2]"
The Scarlet and the Black,,David Butler,Category III,"[0, 2, 3]"
Sanctimony,,Uwe Boll,Category IV,"[0, 2, 3]"
Perth,Das Traumschiff,Jürgen Werner,,"[0, 1, 2]"
Supervolcano,,Edward Canfor-Dumas,Category III,"[0, 2, 3]"
In Two Minds,The Wednesday Play,David Mercer,,"[0, 1, 2]"
Cards on the Table,Agatha Christie's Poirot,Nick Dear,,"[0, 1, 2]"
Tatort: Kassensturz,Tatort,Hasso Plötze,,"[0, 1, 2]"
Tatort: Kassensturz,Tatort,Lars Montag,,"[0, 1, 2]"
Dead Man's Folly,Agatha Christie's Poirot,,Category III,"[0, 1, 3]"
Camp Rock,Camp Rock,Paul Brown,,"[0, 1, 2]"
Tatort: Spielverderber,Tatort with Schimanski and Thanner,Felix Huby,,"[0, 1, 2]"
Operation Delta Force,Operation Delta Force,Danny Lerner,,"[0, 1, 2]"
Tatort: Aus der Traum,Tatort,Fred Breinersdorfer,,"[0, 1, 2]"
Zahn um Zahn,Tatort with Schimanski and Thanner,Thomas Wittenburg,,"[0, 1, 2]"
