col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Diptych with the Crucifixion and the Coronation of the Virgin,,[0]
Double portrait of Adriaen van de Broucke and his wife Catharina Vranx,,[0]
St John the Baptist and Veronica Diptych,Veil of Veronica,"[0, 1]"
L'intérieur,,[0]
Diptych of Munich,Christ Child,"[0, 1]"
Two-fold Screen,,[0]
The Annunciation. A Diptych,,[0]
The Hell and the Flood,Genesis flood narrative,"[0, 1]"
Lachovsky–Bardi Diptych,,[0]
Diptych with Scenes from Christ's Passion,crucifixion,"[0, 1]"
Diptych with Scenes from Christ's Passion,Last Supper,"[0, 1]"
Diptych with Scenes from Christ's Passion,Judas Iscariot,"[0, 1]"
Le moulin de Gatimel,windmill,"[0, 1]"
Apocalyptic Riders,equestrianism,"[0, 1]"
Rehlinger Diptych,,[0]
Sans titre (Diptyque),,[0]
Christ as the Man of Sorrows,,[0]
Annunciation,woman,"[0, 1]"
Our Lady of the Seven Sorrows (grisaille),Our Lady of Sorrows,"[0, 1]"
Wilton Diptych,Christ Child,"[0, 1]"
Elegant Plum Tree Garden,,[0]
Elegant Plum Tree Garden,,[0]
