col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
TYC 3125-2432-1,40.5625105986979,[0]
TYC 3127-288-1,42.6018512962931,[0]
TYC 3129-2485-1,42.9243563998047,[0]
[CBH2015] V1764,32.690796,[0]
KIC 9641484,46.3976090435576,[0]
TYC 3142-105-1,41.8192023702234,[0]
KOI-1908,40.91359440779,[0]
Kepler-93,38.67233699634999,[0]
TYC 3143-426-1,41.9552322263014,[0]
iPTF 15ell,18.29312722,[0]
TYC 2666-261-1,37.2730100057738,[0]
KOI-2379,46.46638805583,[0]
TYC 3133-2447-1,44.0043499089912,[0]
[CBH2015] V1537,32.50825,[0]
KOI-1973,40.09773334818084,[0]
SDSS J055245.55+322259.7,32.3833019262708,[0]
V* V1345 Tau,28.82853819774,[0]
TYC 3117-263-1,43.6298876397069,[0]
