col0,col1,col2,col3,"Metadata:CTA:[0],CPA:[[0, 2], [0, 1], [0, 3]]"
Pax,63.5,Stichting Museum Bommel Van Dam,,"[0, 2]"
The Triumphal Chariot of Maximilian I (The Great Triumphal Car) [plate 5 of 8],45.4,Prints in the National Gallery of Art,The Triumphal Chariot of Maximilian I (The Great Triumphal Car) [plate 5 of 8],"[0, 2]"
Christ shown to the people,124.0,British Museum,Ecce Homo,"[0, 2]"
Combing His Hair,28.3,Asian Art,,"[0, 2]"
Selbstporträt,19.7,Staatliche Kunstsammlungen Dresden,,"[0, 2]"
View of Venice [upper left block],,Prints in the National Gallery of Art,View of Venice [upper left block],"[0, 2]"
Shitennō-ji garan,24.5,Museum of Fine Arts Boston,The Precincts of Shitennô-ji Temple,"[0, 2]"
Madonna in Glory with Six Saints,,Yale Center for British Art,Madonna in Glory with Six Saints,"[0, 2]"
Shinmachi kakutyū kuken yozakura,24.5,Osaka Municipal Library,Cherry Blossoms in the Evening at Kuken in the Shinmachi Licensed Quarter,"[0, 2]"
Christ Taken Captive,,Prints in the National Gallery of Art,Christ Taken Captive,"[0, 2]"
The Virgin Nursing the Christ Child with Four Angels,,National Gallery of Art,The Virgin Nursing the Christ Child with Four Angels,"[0, 2]"
St. Bridget divides her works among nuns and monks (leaf 1),,British Museum,St. Bridget divides her works among nuns and monks,"[0, 2]"
The Duke,,Prints in the National Gallery of Art,The Duke,"[0, 2]"
The Triumphal Chariot of Maximilian I (The Great Triumphal Car) [plate 2 of 8],45.4,Prints in the National Gallery of Art,The Triumphal Chariot of Maximilian I (The Great Triumphal Car) [plate 2 of 8],"[0, 2]"
"Segawa Kikunojo III as Oshizu, Wife of Tanabe Bunzo",37.8,Brooklyn Museum,,"[0, 2]"
Amijma fūkei,24.5,Museum of Fine Arts Boston,View of Amijima,"[0, 2]"
First Leaf of the Shunga; The Delightful Love Adventures of Maneyemon,20.3,Asian Art,,"[0, 2]"
