col0,col1,col2,col3,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2], [0, 3]]"
Ribeira,27030,69.0,0.0,[0]
Ames,32482,80.55,63.0,[0]
Porqueira,841,43.4,635.0,[0]
Samos,1210,136.6,700.0,[0]
Bande,1482,98.96,728.0,[0]
Triacastela,622,51.18,665.0,[0]
Culleredo,30864,63.0,570.0,[0]
Leiro,1481,38.3,90.0,[0]
Amoeiro,2391,39.68,396.0,[0]
A Pobra de Trives,1977,84.2,746.0,[0]
Trasmiras,1228,56.74,654.0,[0]
Portas,2823,22.73,758.0,[0]
Pontevedra,82535,118.0,20.0,[0]
Paradela,1638,121.12,345.0,[0]
Burela,9454,8.2,25.0,[0]
Rianxo,10854,58.8,4.0,[0]
Beariz,946,56.2,610.0,[0]
Baiona,12407,35.35,622.0,[0]
Rodeiro,2260,154.2,,[0]
Vilar de Santos,792,20.7,632.0,[0]
Vigo,293652,109.06,28.0,[0]
Baralla,2484,141.0,500.0,[0]
Cangas,26807,38.1,9.0,[0]
Oia,3104,48.0,3.0,[0]
Valga,5704,40.72,,[0]
