col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Portrait of Vincenzo Battista.,12.5,[0]
Claudio Sánchez Albornoz,,[0]
Portrait of Father Ruifeng,67.8,[0]
Portrait of the coachbuilder Pierre Simons and his wife Sarah Lane,,[0]
Portrait of Nikolaj Rubinstein.,15.5,[0]
"Commemorative gravestone to Mariano de Cavia, Madrid",,[0]
Portrait of Serafino Amedeo De Ferrari.,37.5,[0]
Portrait of Josef Strauss.,26.0,[0]
Portrait of Émile Vincent.,22.0,[0]
Portrait of Gaetano Pugnani.,9.0,[0]
Portrait of Rajinder Dutt,10.0,[0]
Portrait of Johannes Brahms.,19.0,[0]
Nurse who is knitting,,[0]
Aus dem Leben unseres Erbprinzen Luitpold,,[0]
"Wajid Ali Shah, Ruler of Awadh",,[0]
Portrait of Lauro Rossi.,19.0,[0]
Portrait of Francesco Trombini,21.0,[0]
Portrait of Giovanni Battista Candotti.,19.5,[0]
Portrait of Carlo Alfredo Piatti.,10.5,[0]
