col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 2]]"
Sainte-Julienne,,99.61,[0]
L'Avenir,,99.1,[0]
Les Coteaux,,14.5,[0]
Saint-Fortunat,,76.6,[0]
Lefebvre,,66.2,[0]
Nantes,,120.5,[0]
Saint-Boniface,,112.0,[0]
Sheenboro,,634.0,[0]
Ormstown,,144.5,[0]
Sainte-Sabine,,55.4,[0]
Saint-Jacques,,67.26,[0]
Dupuy,,121.6,[0]
Hatley,,66.6,[0]
Lac-Beauport,,64.0,[0]
Notre-Dame-de-la-Paix,,107.5,[0]
Lyster,,167.8,[0]
Saint-David,,92.7,[0]
Fassett,,15.5,[0]
Piedmont,,24.7,[0]
Auclair,,107.7,[0]
Saint-Cyprien,,140.0,[0]
Clarendon,167.0,348.4,[0]
Hope Town,,51.1,[0]
Saint-Paul,,49.11,[0]
