col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
MVP Supercup of Spain,,[0]
European Sportsperson of the Year,,[0]
European Sportsperson of the Year,,[0]
Jeff Nicklin Memorial Trophy,1946-01-01,[0]
Idrottsmärke,,[0]
New Zealand NBL Rebounding Champion,1982-01-01,[0]
Gouden Stuur,,[0]
Halberg awards,,[0]
Soccer Coach of the Year Award (Switzerland),,[0]
RDS Cup,,[0]
Wil Haggenburg Trophee,1969-01-01,[0]
Wild Country Rock Award,,[0]
Sam Pollock Trophy,,[0]
Premier League Manager of the Month,,[0]
Ricardo Zamora Trophy,1959-01-01,[0]
Champion des champions français de L'Équipe,1946-01-01,[0]
Serie A Footballer of the Year,1997-01-01,[0]
NHL Plus-Minus Award,1982-01-01,[0]
New Zealand NBL Most Valuable Player Award,2003-01-01,[0]
STATS FCS Coach of the Year,2015-01-01,[0]
Veli-Pekka Ketola trophy,1978-01-01,[0]
Gordie Howe Trophy,,[0]
Marcel Robert Trophy,,[0]
Haskins Award,,[0]
