col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
The Mouse on 57th Street,7,[0]
Polska Warrior,25,[0]
Pussy,8,[0]
Population Explosion,874,[0]
Soviet Toys,11,[0]
An Elephant Never Forgets,7,[0]
Dear Basketball,5,[0]
Holiday for Drumsticks,7,[0]
Cat's A-Weigh,6,[0]
Silent,159,[0]
Imprints,6,[0]
Nightangel,19,[0]
Lego Marvel Super Heroes - Guardians of the Galaxy: The Thanos Threat,22,[0]
I'd Love to Take Orders from You,8,[0]
Golden Time,21,[0]
The Fruits of Clouds,10,[0]
12 Years,4,[0]
Formic,4,[0]
Ein sonniger Tag,6,[0]
No Room for Gerold,5,[0]
