col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Northside Hospital heliport,1050,[0]
Grady Memorial Hospital heliport,1227,[0]
Bridge Building,939,[0]
Virgil,300,[0]
Morrison,142,[0]
Union Hospital heliport,926,[0]
Grady Memorial Hospital heliport,969,[0]
Good Samaritan Hospital heliport,825,[0]
Children's Hospital heliport,285,[0]
Norden Systems heliport,60,[0]
St. Francis Hospital heliport,184,[0]
Middlesex Hospital heliport,55,[0]
Medical Center heliport,148,[0]
Community Hospital heliport,400,[0]
Providence Hospital heliport,140,[0]
Emerus,2096,[0]
Circus Circus,2122,[0]
Action,2460,[0]
Unifi,990,[0]
Raleigh,207,[0]
Washington County Hospital heliport,19,[0]
Carowinds,640,[0]
Streets Ferry,7,[0]
Grace Hospital heliport,1178,[0]
