col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Výrava,Výrava,"[0, 1]"
Holovousy,Holovousy,"[0, 1]"
Olbramice,Olbramice,"[0, 1]"
Blatnice,Blatnice,"[0, 1]"
Větřkovice,Lubina,"[0, 1]"
Příčina,cause,"[0, 1]"
Louka,Louka,"[0, 1]"
Mořina,Morina,"[0, 1]"
Velim,Velim,"[0, 1]"
Vysoká,Vysoká,"[0, 1]"
Dražice,Dražice,"[0, 1]"
Senec,Senec,"[0, 1]"
Klabava,Klabava,"[0, 1]"
Ostružno,Ostružno,"[0, 1]"
Lubnice,"Lubnice, Berane Municipality","[0, 1]"
Maletín,briefcase,"[0, 1]"
Leskovec nad Moravicí,Leskovec,"[0, 1]"
Putim,Vladimir Putin,"[0, 1]"
Křečovice,Krućevići,"[0, 1]"
Lozice,Lozice,"[0, 1]"
Petřvald,Petřvald,"[0, 1]"
Loza,Loza,"[0, 1]"
Ostravice,Ostravice,"[0, 1]"
Vodice,Vodice,"[0, 1]"
Láz,Láz,"[0, 1]"
