col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
Azarovo,Myatlevsky Uyezd,,"[0, 1]"
Sandriegel,Kals am Großglockner,,"[0, 1]"
Schwarze Wand,Hollersbach im Pinzgau,Venediger Group,"[0, 1, 2]"
Schwarze Wand,Ischgl,Samnaun Alps,"[0, 1, 2]"
Nassfeld,Heiligenblut,Glockner Group,"[0, 1, 2]"
Salina,Sambir Raion,,"[0, 1]"
Juancho,General Madariaga Partido,,"[0, 1]"
Eisbichl,Fusch an der Großglocknerstraße,,"[0, 1]"
Hessenberg,Weitersfeld,,"[0, 1]"
Bregovi,,Bjelasica range,"[0, 2]"
Im Grund,Kals am Großglockner,Glockner Group,"[0, 1, 2]"
Marinkovac,,Bjelasica range,"[0, 2]"
Karwand,Fusch an der Großglocknerstraße,Glockner Group,"[0, 1, 2]"
Hoppen-Berg,Thuringia,,"[0, 1]"
Stadt-Berg,Thuringia,,"[0, 1]"
Khreshchatyk,Podil Raion,,"[0, 1]"
Kurapaty,Minsk District,,"[0, 1]"
