col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
Monument a Jacint Verdaguer,172.0,,[0]
Römerbrunnen,1150.0,,[0]
Water stairs,1.4,,[0]
Water gate,8.0,,[0]
King Fahd's Fountain,312.0,,[0]
font de Baix,,402.0,[0]
Monument to work,,76.0,[0]
Fountain to South of Dyffryn House,,45.0,[0]
decorative fountain Wittigkofen castle tenant's house,,555.0,[0]
Gründungsbrunnen,6.0,,[0]
Laundress,2.7,,[0]
Garden Fountain in grounds at Bryn-y-Neuadd Hospital,,13.0,[0]
Pont del torrent de la font de Buc,,546.0,[0]
Petrusbrunnen,750.0,,[0]
fountain stele,6.0,,[0]
Source of Life,,553.0,[0]
Een mens van water,7.0,,[0]
Fonts de Sant Roc,,450.0,[0]
"Drinking Fountain, A 490 (Ne Side), Bwlch-Y-Cibau",,151.4,[0]
Caldron fountain,3.0,,[0]
Font,,532.0,[0]
Hirschbrunnen,,346.0,[0]
courtyard fountain school house Stapfenacker,98.0,559.0,[0]
Font de la Figuera,,525.0,[0]
