col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Département Composants Silicium,CEA-Leti,"[0, 1]"
TRW Defense and Space Systems Group,TRW Inc.,"[0, 1]"
Fred. Olsen Renewables,Fred. Olsen & Co.,"[0, 1]"
Hexagon Geospatial,Hexagon AB,"[0, 1]"
Classification and Rating Administration,Motion Picture Association,"[0, 1]"
Toll Operations Division of the Texas Department of Transportation,Texas Department of Transportation,"[0, 1]"
University of Maryland University Relations,University of Maryland,"[0, 1]"
West Japan Railway Company Chugoku Regional Head Office,West Japan Railway Company,"[0, 1]"
San José State University Division of Research and Innovation,San José State University,"[0, 1]"
Amersham Biosciences,Amersham plc,"[0, 1]"
Department of History and Archaeology at AUB,American University of Beirut,"[0, 1]"
American Bar Association Young Lawyers Division,American Bar Association,"[0, 1]"
American Bar Association Criminal Justice Section,American Bar Association,"[0, 1]"
Junior Chamber International Târgu-Mureș,Junior Chamber International,"[0, 1]"
George Arents Collection,New York Public Library,"[0, 1]"
"Irma and Paul Milstein Division of United States History, Local History and Genealogy",New York Public Library,"[0, 1]"
