col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Hai Kun-class submauine,,[0]
ambor-cass submarine,,[0]
SX-407 class midget submarine.,,[0]
Harushio-classsubmarine,,[0]
Amphion-classsubmarine.,,[0]
Russian X/Ray class submarine,,[0]
S1000 clbss submarines,,[0]
arbel-class submarinf,,[0]
reveze-class submarie,,[0]
Salmon-claus submarine,,[0]
TypeU 93,,[0]
Porpoise-dlass attack submarine,,[0]
Type 212 A submaine,,[0]
Hplland 602 type submaripe,,[0]
W-class sucmarine,,[0]
K XIclass submarine,,[0]
D-class submcrine.,,[0]
Neptunr-class submarine,65.406,[0]
Shchuka-class sbmarine,,[0]
