col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Crop Protection,,[0]
Voluntas,,[0]
Journal of Cancer,,[0]
Canadian Journal of Philosophy,,[0]
Himalayan Linguistics,,[0]
Regional Environmental Change,,[0]
Geographical Review,,[0]
Journal of Language Contact,,[0]
Fisheries Oceanography,,[0]
Genre & Histoire,,[0]
Deutsches Ärzteblatt,,[0]
ACM SIGMOD Record,,[0]
Journal of Moral Philosophy,,[0]
The Art Bulletin,3.0,[0]
Logia: a journal of Lutheran theology,3.0,[0]
Gynecological Surgery,,[0]
Acta litteraria Academiae Scientiarum Hungaricae,3.0,[0]
Physiological Research,2.0,[0]
Concordia Pulpit Resources,3.0,[0]
The Garden: an illustrated weekly journal of gardening in all its branches,,[0]
Cardiology Journal,,[0]
Journal of Ecology,,[0]
Leadership and Organization Development Journal,,[0]
Acta Energetica,,[0]
