col0,col1,col2,"Metadata:CTA:[0, 1],CPA:[[0, 1], [0, 2]]"
Oude Molen,Oude Molenstraat,Simpelveld,"[0, 1, 2]"
Oude Molen,Sint Pieterstraat,Valkenburg aan de Geul,"[0, 1, 2]"
Oude Molen,,Wellen,"[0, 2]"
White's Mill,,Washington County,"[0, 2]"
Roermolen,Roermolen,Beekdaelen,"[0, 1, 2]"
Mangel,,Neukirch/Lausitz,"[0, 2]"
Watermill,,Alvingham,"[0, 2]"
Watermill,,Thoresway,"[0, 2]"
Watermill,,Bardwell,"[0, 2]"
Watermill,,Sapiston,"[0, 2]"
Rooiermolen,,Diepenbeek,"[0, 2]"
Rooiermolen,,Bree,"[0, 2]"
Can Moner,,Llagostera,"[0, 2]"
Newnham Mill,,Cambridge,"[0, 2]"
Kleine Molen,,Pelt,"[0, 2]"
Veldmolen,,Gulpen-Wittem,"[0, 2]"
Broekmolen,Dorpsstraat,Gulpen-Wittem,"[0, 1, 2]"
Broekmolen,Grensweg,Weert,"[0, 1, 2]"
Longbridge Mill,,Sherfield on Loddon,"[0, 2]"
Holtmeulen,St Wilbertsweg,Venray,"[0, 1, 2]"
Grand Moulin,,Blegny,"[0, 2]"
Borchmolen,,Meierijstad,"[0, 2]"
Borchmolen,,Kinrooi,"[0, 2]"
