col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
WWE Great Balls of Fire,16579,[0]
Money in the Bank (2017),15392,[0]
SummerSlam (2017),16219,[0]
Backlash (2017),9800,[0]
Extreme Rules (2017),11179,[0]
NXT TakeOver: Orlando,14975,[0]
Payback (2017),13684,[0]
Fastlane (2017),15785,[0]
Elimination Chamber (2017),14367,[0]
WrestleMania 34,78133,[0]
WWE United Kingdom Championship Tournament,3236,[0]
NXT TakeOver: San Antonio,9465,[0]
Royal Rumble (2017),52020,[0]
WrestleMania 33,75246,[0]
Lockdown,1100,[0]
Starrcade,6596,[0]
Lockdown,5500,[0]
SummerSlam (2018),16169,[0]
UFC Fight Night: Shogun vs. Smith,7798,[0]
Extreme Rules (2018),14739,[0]
NXT TakeOver: Chicago II,11000,[0]
Money in the Bank (2018),15214,[0]
Backlash,14724,[0]
NXT TakeOver: New Orleans,13955,[0]
Fastlane (2018),15119,[0]
