col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
1969 Italian Grand Prix,68.0,[0]
1957 Italian Grand Prix,87.0,[0]
1985 Italian Grand Prix,51.0,[0]
2013 Italian Grand Prix,53.0,[0]
1990 Italian Grand Prix,53.0,[0]
1959 Italian Grand Prix,72.0,[0]
1960 Italian Grand Prix,50.0,[0]
1991 Italian Grand Prix,53.0,[0]
2022 Italian Grand Prix,53.0,[0]
1981 Italian Grand Prix,52.0,[0]
1958 Italian Grand Prix,70.0,[0]
1976 Italian Grand Prix,52.0,[0]
1971 Italian Grand Prix,55.0,[0]
1983 Italian Grand Prix,52.0,[0]
1934 Italian Grand Prix,,[0]
1968 Italian Grand Prix,68.0,[0]
1979 Italian Grand Prix,50.0,[0]
1978 Italian Grand Prix,40.0,[0]
