col0,col1,col2,col3,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2], [0, 3]]"
Merced County,5107,281202,2.19,[0]
Tulare County,12533,473117,0.3,[0]
San Benito County,3206,64209,0.17,[0]
Amador County,1566,40474,1.98,[0]
Inyo County,26488,19016,0.24,[0]
Stanislaus County,3923,552878,1.31,[0]
Riverside County,18915,2418185,1.33,[0]
Lassen County,12226,32730,3.46,[0]
Modoc County,10887,8700,6.17,[0]
Contra Costa County,2078,1165927,10.93,[0]
Mariposa County,3789,17131,0.82,[0]
Colusa County,2995,21839,0.48,[0]
San Bernardino County,52073,2181654,0.24,[0]
Trinity County,8307,16112,0.9,[0]
El Dorado County,4631,191185,4.31,[0]
