col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
1913 Republic of China presidential election,Taiwan,"[0, 1]"
1997 Nagorno-Karabakh presidential election,Republic of Artsakh,"[0, 1]"
Next Rwandan presidential election,Rwanda,"[0, 1]"
2018 Montenegrin presidential election,Montenegro,"[0, 1]"
2014–15 Croatian presidential election,Croatia,"[0, 1]"
1993 Togolese presidential election,Togo,"[0, 1]"
1993 Togolese presidential election,Togo,"[0, 1]"
1996 Equatorial Guinean presidential election,Equatorial Guinea,"[0, 1]"
2005 Egyptian presidential election,Egypt,"[0, 1]"
2020 Ivorian presidential election,Ivory Coast,"[0, 1]"
2011 São Toméan presidential election,São Tomé and Príncipe,"[0, 1]"
1853 Costa Rican general election,Costa Rica,"[0, 1]"
2023 Malagasy presidential election,Madagascar,"[0, 1]"
2000 Paraguayan vice presidential election,Paraguay,"[0, 1]"
next Palestinian presidential election,State of Palestine,"[0, 1]"
