col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
ntonivkc,205.758,[0]
Anonivka,180.54,[0]
Anoniv,308.201,[0]
Antoiv,185.656,[0]
Antonna,256.71,[0]
Gannoqil',220.446,[0]
Gannopil*,222.554,[0]
Iannivka,26.208,[0]
Hcnnivka,110.001,[0]
Hannkvka,71.35499999999999,[0]
Chornli Potik,121.024,[0]
Bila Tserva,282.124,[0]
Kvanivka,24.95,[0]
Ivcnivka,200.4,[0]
Ivanivk,188.752,[0]
Ivanivma,220.668,[0]
Yaovka,167.817,[0]
Ivaniva,153.52,[0]
Ivanka,127.36,[0]
Ianivka,155.22,[0]
vanivk,136.452,[0]
Ivanivkd,226.71,[0]
Ivanivkd,85.255,[0]
Ivanvka,133.798,[0]
