col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
Lindau,,323.0,[0]
Schrobenhausen,3937.0,39994.85,[0]
Miesbach,10847.0,843.83,[0]
Illertissen,,299.54,[0]
Kronach,13667.0,296.97,[0]
Aichach,8128.0,51743.21,[0]
Oberviechtach,2747.0,27572.18,[0]
Bad Aibling,6734.0,33390.11,[0]
Sulzbach-Rosenberg,5060.0,35032.518,[0]
Passau,9405.0,1530.04,[0]
Mindelheim,,570.0,[0]
Rottenburg,4399.0,38568.32,[0]
Main-Spessart,,1321.4186,[0]
Bogen,5711.0,51388.43,[0]
Schwandorf,,1472.88,[0]
Parsberg,5939.0,79688.32,[0]
Pfarrkirchen,9676.0,565.67,[0]
Marktoberdorf,,540.0,[0]
Ochsenfurt,,372.05,[0]
Regensburg,15086.0,1396.0,[0]
