col0,col1,col2,col3,"Metadata:CTA:[0, 1],CPA:[[0, 1], [0, 3], [0, 2]]"
Maribor,Europe,1164-01-01,,"[0, 1]"
Yaroslavl,Europe,1071-01-01,,"[0, 1]"
Dharwad,Asia,,Hubballi-Dharwad,"[0, 1, 3]"
Zlatoust,Europe,1751-01-01,,"[0, 1]"
Frankfurt,Europe,0794-02-26,Stadtregion Frankfurt,"[0, 1, 3]"
Sendai,Asia,,Sassenhirofuku,"[0, 1, 3]"
Oslo,Europe,1048-01-01,,"[0, 1]"
Rijeka,Europe,,Kvarner Gulf,"[0, 1, 3]"
Taichung,Asia,,Central Taiwan,"[0, 1, 3]"
Dongguan,Asia,,Pearl River Delta,"[0, 1, 3]"
Pskov,,0903-01-01,Pskov Oblast,"[0, 3]"
Nuremberg,,1050-01-01,Nuremberg Metropolitan Region,"[0, 3]"
Urgench,Asia,1601-01-01,,"[0, 1]"
Cape Town,Africa,,Western Cape,"[0, 1, 3]"
