col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Her Royal Highness Princess Frederick William of Prussia,,[0]
The Great Executioner,44.2,[0]
"The Abbey of Valle Crucis, Llan Egwiste, or Llanegwast, Denbeighshire",151.0,[0]
Still Life and Street,,[0]
Pass of Llanberis,145.0,[0]
Pass of Llanberis,96.0,[0]
Pass of Llanberis,112.0,[0]
Pass of Llanberis,146.0,[0]
Christus voor Pilatus,,[0]
Revd. J. Newland,,[0]
Pablo de Santa María,235.0,[0]
Fridolin and Gragapança of Yperdamme,,[0]
'The Nonconformist',,[0]
"Penmaen Mawr, Caernarvonshire",142.0,[0]
De Heilige Franciscus van Assisi ontvangt het Christuskind uit handen van Maria,,[0]
Portrait of a Man,,[0]
My friend John Sheringham,,[0]
Mrs. Mattocks as Nyfa in Midas,,[0]
