col0,col1,"Metadata:CTA:[0],CPA:[]"
Batavia Properindo Peduli,,[0]
Armed Forces Parliamentary Scheme,,[0]
Catalan Foundation for Research and Innovation,,[0]
Institut Cambó,,[0]
Fundació Bosch i Cardellach,,[0]
Robert Bosch Stiftung,200.0,[0]
Fundación Universidad-Empresa (Universidad de Valencia),,[0]
Viral Hepatitis Research Foundation of Japan,,[0]
Stollery Children’s Hospital Foundation,,[0]
Mogens Thorsens og Hustrus Stiftelse,,[0]
Stiftung Deutscher Offizier Bund,,[0]
Talbots Charitable Foundation,,[0]
Abe Belsky Foundation,,[0]
HVB Foundation bank note collection,,[0]
