col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
Santo Stefano,Catholicism,,"[0, 1]"
Shrine of Our Lady of Europe,Catholicism,European Marian Network,"[0, 1, 2]"
St. Katharina,,list of cultural properties in Innerthal,"[0, 2]"
St. Elizabeth Catholic Church,Catholicism,,"[0, 1]"
San Pietro,Catholicism,,"[0, 1]"
San Pietro,Catholicism,,"[0, 1]"
San Pietro,Catholicism,,"[0, 1]"
San Pietro,Catholicism,,"[0, 1]"
Church of the Resurrection,Catholic Church,,"[0, 1]"
Santi Filippo e Giacomo,Catholicism,,"[0, 1]"
Santi Filippo e Giacomo,Catholicism,,"[0, 1]"
Santi Pietro e Paolo church,Catholicism,list of cultural properties in Brissago,"[0, 1, 2]"
San Giovanni Battista,Catholicism,,"[0, 1]"
San Giovanni Battista,Catholicism,,"[0, 1]"
San Giovanni Battista,Catholicism,,"[0, 1]"
San Giovanni Battista,Catholicism,,"[0, 1]"
San Giovanni Battista,Catholicism,,"[0, 1]"
Sant'Andrea Apostolo Church,Catholicism,,"[0, 1]"
Chiesa di San Martino Vescovo,Catholicism,,"[0, 1]"
church of St. Mary Major,Catholicism,,"[0, 1]"
roman catholic parish church,,list of cultural properties in Schupfart,"[0, 2]"
roman catholic parish church,,list of cultural properties in Oberrüti,"[0, 2]"
roman catholic parish church,,list of cultural properties in Dietwil,"[0, 2]"
roman catholic parish church,,list of cultural properties in Stetten AG,"[0, 2]"
