col0,col1,"Metadata:CTA:[0, 1],CPA:[[0, 1]]"
Dan and Ada Rice,Dan Rice,"[0, 1]"
Dana and Ginger Lamb,Dana Lamb,"[0, 1]"
Brenda and Robert Vale,Brenda Vale,"[0, 1]"
Augusto and Michaela Odone,Augusto Odone,"[0, 1]"
Bertram K. and Nina Fletcher Little,Nina Fletcher Little,"[0, 1]"
Berta and Elmer Hader,Elmer Hader,"[0, 1]"
Asa and Lucy Goodale Thurston,Asa Thurston,"[0, 1]"
Aylmer and Louise Maude,Aylmer Maude,"[0, 1]"
Bill and Bobbie Irvine,Bill Irvine,"[0, 1]"
Difang and Igay Duana,Kuo Ying-Nan,"[0, 1]"
Bodie and Brock Thoene,Bodie Thoene,"[0, 1]"
Barry and Holly Tashian,Barry Tashian,"[0, 1]"
Bill and Ruth Lucas,Bill Lucas,"[0, 1]"
Gert and Hermien,Hermien van der Weide,"[0, 1]"
Andrea Robbins and Max Becher,Andrea Robbins,"[0, 1]"
Burns and Allen,Gracie Allen,"[0, 1]"
Xenophon and Maria,Xenophon,"[0, 1]"
Dhananjayans,Vannadil Pudiyaveettil Dhananjayan,"[0, 1]"
B. C. Schiller,Barbara Schiller,"[0, 1]"
Dirk and Wilhelmina van Mourik,Dirk van Mourik,"[0, 1]"
John Bell Clayton and Martha Clayton,John Bell Clayton,"[0, 1]"
