col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
La Font de Sant Joan,,445.0,[0]
Berlin Peace Column,19.0,,[0]
Weltkugelbrunnen,10.0,,[0]
Säule in der Brandung,4.0,,[0]
Fountain to SW of St. Peter's church,,167.9,[0]
Memorial Fountain,,277.6,[0]
Froschkönig,1.92,,[0]
Pont del Torrent de la Font Puda,,671.0,[0]
Font d'Estamariu,,701.0,[0]
"Fountain of Neptune, Florence",560.0,,[0]
"Garden Fountain N of Walled Garden at Ffynone, Ffynnonau",,95.6,[0]
Altenbergstrasse fountain,,498.5,[0]
Town Musicians of Bremen,1.6,,[0]
Fountain in Monbijoupark,1.05,,[0]
