col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
El Carrizal,25.32,461,[0]
La Reina,133.5,453,[0]
Agua Caliente,195.7,380,[0]
Acajutla,166.6,26,[0]
Nueva Trinidad,46.33,385,[0]
Coatepeque,126.8,777,[0]
San Rafael,23.72,358,[0]
San Buenaventura,27.91,432,[0]
San Ignacio,69.15,965,[0]
San Antonio de la Cruz,25.02,262,[0]
Meanguera,47.25,321,[0]
San Isidro,78.33,363,[0]
San Isidro,11.51,527,[0]
Corinto,94.99,839,[0]
Victoria,146.9,771,[0]
Santa Rita,53.14,463,[0]
Ojos de Agua,34.12,319,[0]
Delgado,33.42,620,[0]
Santa Tecla,112.2,931,[0]
Dolores,149.1,99,[0]
Cacaopera,135.7,609,[0]
Apastepeque,120.6,590,[0]
