col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
Tropical Depression Eleven-E,1006.0,55.6,[0]
Tropical Depression Eleven-E,,135.0,[0]
Pacific tropical depression Three,,55.0,[0]
Tropical Depression 22E,,55.6,[0]
Tropical depression Twenty-One-E,,55.0,[0]
Hurricane Gert,970.0,157.4,[0]
Tropical depression in Brava,,45.0,[0]
Tropical depression Gulf of Mexico,,45.0,[0]
Tropical Depression Crising (2021),1006.0,30.0,[0]
Pacific tropical depression Sixteen,,55.0,[0]
Tropical depression Eight,1006.0,45.0,[0]
