col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 2]]"
Alpaslan-2 Dam,,2020-11-08,[0]
Oltesvik power station,,1935-01-01,[0]
Ås power station,,1908-01-01,[0]
Masinga Dam,,1981-01-01,[0]
Kammerfoss power station,,1958-01-01,[0]
Bagn power station,,1963-01-01,[0]
Ytre Matre power station,,2006-01-01,[0]
Seyhan Dam,53.2,,[0]
Rørvikbekken kraftstasjon,,1997-01-01,[0]
Wassen power station,,1949-01-01,[0]
Rørheim power station,,2004-01-01,[0]
Ohau A,,1979-01-01,[0]
Byafossen power station,,1936-01-01,[0]
Pichi Picún Leufú Dam,,1999-01-01,[0]
Bergerfoss power station,,1938-01-01,[0]
Ølmedal power station,,2010-01-01,[0]
