col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
2009 Indian general election in Mayurbhanj Lok Sabha constituency,825887.0,[0]
1963 Argentine legislative election,,[0]
2005 Vienna District Representative election,,[0]
1957 Singapore City Council election,,[0]
2009 Indian general election in Sundargarh Lok Sabha constituency,767801.0,[0]
2014 Indian general election in Hindupur Lok Sabha constituency,1177257.0,[0]
1999 Indian general election in Berhampore Lok Sabha constituency,937646.0,[0]
1968 Valdostan regional election,,[0]
2004 Indian general election in Barpeta Lok Sabha constituency,762700.0,[0]
2014 Indian general election in Kota Lok Sabha constituency,1154960.0,[0]
1994 United States House of Representatives elections in Maryland,,[0]
1999 Indian general election in Raichur Lok Sabha constituency,722982.0,[0]
1946 Mexican general election,,[0]
2004 Carinthian state election,,[0]
